ANO,BIMESTRE,COD_MUNICIPIO,NOME_MUNICIPIO,CD_ORGAO,NOME_ORGAO,CD_RECEBIMENTO,CD_ORGAO_ORCAMENTARIO,NOME_ORGAO_ORCAMENTARIO,CD_UNIDADE_ORCAMENTARIA,NOME_UNIDADE,TP_UNIDADE,CD_FUNCAO,DS_FUNCAO,CD_SUBFUNCAO,DS_SUBFUNCAO,CD_PROGRAMA,DS_PROGRAMA,CD_PROJETO,NM_PROJETO,CD_ELEMENTO,CD_RECURSO,NM_RECURSO,VL_DOTACAO_INICIAL,VL_ATUALIZACAO_MONETARIA,VL_CREDITOS_SUPLEMENTARES,VL_CREDITOS_ESPECIAIS,VL_CREDITOS_EXTRAORDINARIOS,VL_REDUCAO_DOTACAO,VL_SUPLEMENTACAO_RECURSO,VL_REDUCAO_RECURSO,VL_EMPENHADO,VL_LIQUIDADO,VL_PAGO,VL_LIMITADO,VL_RECOMPOSICAO,VL_PREVISAO_EXECUCAO
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,4,ADMINISTRAÇÃO,122,ADMINISTRAÇÃO GERAL,162,Você Servidor,2847,PROGRAMA DE ATENÇÃO À SAÚDE DO SERVIDOR - DEMHAB,3.3.90.39,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,138687.00,0.00,17000.00,0.00,0.00,44043.00,0.00,0.00,109978.68,87864.75,87864.75,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,15,URBANISMO,122,ADMINISTRAÇÃO GERAL,160,Cidade da Participação,2873,PUBLICIDADE,3.3.90.39,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,604646.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437646.00,329215.80,164423.00,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,16,HABITAÇÃO,122,ADMINISTRAÇÃO GERAL,161,Gestão Total,2540,REDUÇÃO DE INADIMPLÊNCIA,3.3.90.39,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,48000.00,0.00,2059.47,0.00,0.00,0.00,163.17,0.00,50059.47,45164.47,45164.47,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,16,HABITAÇÃO,122,ADMINISTRAÇÃO GERAL,161,Gestão Total,2540,REDUÇÃO DE INADIMPLÊNCIA,3.3.90.92,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,163.17,491.08,491.08,491.08,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,16,HABITAÇÃO,122,ADMINISTRAÇÃO GERAL,161,Gestão Total,2587,ADMINISTRAÇÃO GERAL - DEMHAB,3.3.90.14,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,11911.00,0.00,0.00,0.00,0.00,0.00,7375.14,1.01,19173.06,19173.06,19173.06,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,16,HABITAÇÃO,122,ADMINISTRAÇÃO GERAL,161,Gestão Total,2587,ADMINISTRAÇÃO GERAL - DEMHAB,3.3.90.30,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,122647.00,0.00,0.00,0.00,0.00,44000.00,0.00,1440.00,71473.73,71081.53,55292.53,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,16,HABITAÇÃO,122,ADMINISTRAÇÃO GERAL,161,Gestão Total,2587,ADMINISTRAÇÃO GERAL - DEMHAB,3.3.90.33,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,29662.00,0.00,0.00,0.00,0.00,0.00,12438.00,0.00,42100.00,38889.19,38889.19,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,16,HABITAÇÃO,122,ADMINISTRAÇÃO GERAL,161,Gestão Total,2587,ADMINISTRAÇÃO GERAL - DEMHAB,3.3.90.35,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,2857.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00,2760.00,2760.00,2760.00,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,16,HABITAÇÃO,122,ADMINISTRAÇÃO GERAL,161,Gestão Total,2587,ADMINISTRAÇÃO GERAL - DEMHAB,3.3.90.37,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,0.00,0.00,0.00,0.00,0.00,232590.65,1845591.07,523646.09,1089354.33,957476.41,863937.41,0.00,0.00,0.00
2015,6,149,PORTO ALEGRE,54909,DEP. MUNICIPAL DE HABITAÇÃO - PORTO ALEGRE,139085,31,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,1,DEPARTAMENTO MUNICIPAL DE HABITAÇÃO,ATE,16,HABITAÇÃO,122,ADMINISTRAÇÃO GERAL,161,Gestão Total,2587,ADMINISTRAÇÃO GERAL - DEMHAB,3.3.90.39,1,RECURSO LIVRE - ADMINISTRAÇÃO DIRETA,5051720.00,0.00,0.00,0.00,0.00,474178.03,538419.74,1865404.21,3074010.74,2695735.42,2659717.67,0.00,0.00,0.00
